Column name	Columns parameter value
Cell RNA - PC-3 [NX]	cell_RNA_PC-3
Cell RNA - REH [NX]	cell_RNA_REH
Cell RNA - RH-30 [NX]	cell_RNA_RH-30
Cell RNA - RPMI-8226 [NX]	cell_RNA_RPMI-8226
Cell RNA - RPTEC TERT1 [NX]	cell_RNA_RPTEC_TERT1
Cell RNA - RT4 [NX]	cell_RNA_RT4
Cell RNA - SCLC-21H [NX]	cell_RNA_SCLC-21H
Cell RNA - SH-SY5Y [NX]	cell_RNA_SH-SY5Y
Cell RNA - SiHa [NX]	cell_RNA_SiHa
Cell RNA - SK-BR-3 [NX]	cell_RNA_SK-BR-3
Cell RNA - SK-MEL-30 [NX]	cell_RNA_SK-MEL-30
Cell RNA - SuSa [NX]	cell_RNA_SuSa
Cell RNA - T-47d [NX]	cell_RNA_T-47d
Cell RNA - THP-1 [NX]	cell_RNA_THP-1
Cell RNA - TIME [NX]	cell_RNA_TIME
Cell RNA - U-138 MG [NX]	cell_RNA_U-138_MG
Cell RNA - U-2 OS [NX]	cell_RNA_U-2_OS
Cell RNA - U-2197 [NX]	cell_RNA_U-2197
Cell RNA - U-251 MG [NX]	cell_RNA_U-251_MG
Cell RNA - U-266/70 [NX]	cell_RNA_U-266/70
Cell RNA - U-266/84 [NX]	cell_RNA_U-266/84
Cell RNA - U-698 [NX]	cell_RNA_U-698
Cell RNA - U-87 MG [NX]	cell_RNA_U-87_MG
Cell RNA - U-937 [NX]	cell_RNA_U-937
Cell RNA - WM-115 [NX]	cell_RNA_WM-115
Blood RNA - basophil [NX]	blood_RNA_basophil
Blood RNA - classical monocyte [NX]	blood_RNA_classical_monocyte
Blood RNA - eosinophil [NX]	blood_RNA_eosinophil
Blood RNA - gdT-cell [NX]	blood_RNA_gdT-cell
Blood RNA - intermediate monocyte [NX]	blood_RNA_intermediate_monocyte
Blood RNA - MAIT T-cell [NX]	blood_RNA_MAIT_T-cell
Blood RNA - memory B-cell [NX]	blood_RNA_memory_B-cell
Blood RNA - memory CD4 T-cell [NX]	blood_RNA_memory_CD4_T-cell
Blood RNA - memory CD8 T-cell [NX]	blood_RNA_memory_CD8_T-cell
Blood RNA - myeloid DC [NX]	blood_RNA_myeloid_DC
Blood RNA - naive B-cell [NX]	blood_RNA_naive_B-cell
Blood RNA - naive CD4 T-cell [NX]	blood_RNA_naive_CD4_T-cell
Blood RNA - naive CD8 T-cell [NX]	blood_RNA_naive_CD8_T-cell
Blood RNA - neutrophil [NX]	blood_RNA_neutrophil
Blood RNA - NK-cell [NX]	blood_RNA_NK-cell
Blood RNA - non-classical monocyte [NX]	blood_RNA_non-classical_monocyte
Blood RNA - plasmacytoid DC [NX]	blood_RNA_plasmacytoid_DC
Blood RNA - T-reg [NX]	blood_RNA_T-reg
Blood RNA - total PBMC [NX]	blood_RNA_total_PBMC
Brain RNA - amygdala [NX]	brain_RNA_amygdala
Brain RNA - basal ganglia [NX]	brain_RNA_basal_ganglia
Brain RNA - cerebellum [NX]	brain_RNA_cerebellum
Brain RNA - cerebral cortex [NX]	brain_RNA_cerebral_cortex
Brain RNA - hippocampal formation [NX]	brain_RNA_hippocampal_formation
Brain RNA - hypothalamus [NX]	brain_RNA_hypothalamus
Brain RNA - midbrain [NX]	brain_RNA_midbrain
Brain RNA - olfactory region [NX]	brain_RNA_olfactory_region
Brain RNA - pons and medulla [NX]	brain_RNA_pons_and_medulla
Brain RNA - thalamus [NX]	brain_RNA_thalamus
Single Cell Type RNA - Alveolar cells type 1 [NX]	sc_RNA_Alveolar_cells_type_1
Single Cell Type RNA - Alveolar cells type 2 [NX]	sc_RNA_Alveolar_cells_type_2
Single Cell Type RNA - B-cells [NX]	sc_RNA_B-cells
Single Cell Type RNA - Basal glandular cells [NX]	sc_RNA_Basal_glandular_cells
Single Cell Type RNA - Basal keratinocytes [NX]	sc_RNA_Basal_keratinocytes
Single Cell Type RNA - Bipolar cells [NX]	sc_RNA_Bipolar_cells
Single Cell Type RNA - Cardiomyocytes [NX]	sc_RNA_Cardiomyocytes
Single Cell Type RNA - Cholangiocytes [NX]	sc_RNA_Cholangiocytes
Single Cell Type RNA - Ciliated cells [NX]	sc_RNA_Ciliated_cells
Single Cell Type RNA - Club cells [NX]	sc_RNA_Club_cells
Single Cell Type RNA - Collecting duct cells [NX]	sc_RNA_Collecting_duct_cells
Single Cell Type RNA - Cone photoreceptor cells [NX]	sc_RNA_Cone_photoreceptor_cells
Single Cell Type RNA - Cytotrophoblasts [NX]	sc_RNA_Cytotrophoblasts
Single Cell Type RNA - Distal tubular cells [NX]	sc_RNA_Distal_tubular_cells
Single Cell Type RNA - Ductal cells [NX]	sc_RNA_Ductal_cells
Single Cell Type RNA - Early spermatids [NX]	sc_RNA_Early_spermatids
Single Cell Type RNA - Endothelial cells [NX]	sc_RNA_Endothelial_cells
Single Cell Type RNA - Enterocytes [NX]	sc_RNA_Enterocytes
Single Cell Type RNA - Erythroid cells [NX]	sc_RNA_Erythroid_cells
Single Cell Type RNA - Exocrine glandular cells [NX]	sc_RNA_Exocrine_glandular_cells
Single Cell Type RNA - Extravillous trophoblasts [NX]	sc_RNA_Extravillous_trophoblasts
Single Cell Type RNA - Fibroblasts [NX]	sc_RNA_Fibroblasts
Single Cell Type RNA - Glandular cells [NX]	sc_RNA_Glandular_cells
Single Cell Type RNA - granulocytes [NX]	sc_RNA_granulocytes
Single Cell Type RNA - Hepatocytes [NX]	sc_RNA_Hepatocytes
Single Cell Type RNA - Hofbauer cells [NX]	sc_RNA_Hofbauer_cells
Single Cell Type RNA - Horizontal cells [NX]	sc_RNA_Horizontal_cells
Single Cell Type RNA - Intestinal endocrine cells [NX]	sc_RNA_Intestinal_endocrine_cells
Single Cell Type RNA - Ito cells [NX]	sc_RNA_Ito_cells
Single Cell Type RNA - Kupffer cells [NX]	sc_RNA_Kupffer_cells
Single Cell Type RNA - Late spermatids [NX]	sc_RNA_Late_spermatids
Single Cell Type RNA - Leydig cells [NX]	sc_RNA_Leydig_cells
Single Cell Type RNA - Macrophages [NX]	sc_RNA_Macrophages
Single Cell Type RNA - Melanocytes [NX]	sc_RNA_Melanocytes
Single Cell Type RNA - monocytes [NX]	sc_RNA_monocytes
Single Cell Type RNA - Mucus-secreting cells [NX]	sc_RNA_Mucus-secreting_cells
Single Cell Type RNA - Muller glia cells [NX]	sc_RNA_Muller_glia_cells
Single Cell Type RNA - Pancreatic endocrine cells [NX]	sc_RNA_Pancreatic_endocrine_cells
Single Cell Type RNA - Paneth cells [NX]	sc_RNA_Paneth_cells
Single Cell Type RNA - Peritubular cells [NX]	sc_RNA_Peritubular_cells
Single Cell Type RNA - Proximal tubular cells [NX]	sc_RNA_Proximal_tubular_cells
Single Cell Type RNA - Rod photoreceptor cells [NX]	sc_RNA_Rod_photoreceptor_cells
Single Cell Type RNA - Sertoli cells [NX]	sc_RNA_Sertoli_cells
Single Cell Type RNA - Smooth muscle cells [NX]	sc_RNA_Smooth_muscle_cells
Single Cell Type RNA - Spermatocytes [NX]	sc_RNA_Spermatocytes
Single Cell Type RNA - Spermatogonia [NX]	sc_RNA_Spermatogonia
Single Cell Type RNA - Suprabasal keratinocytes [NX]	sc_RNA_Suprabasal_keratinocytes
Single Cell Type RNA - Syncytiotrophoblasts [NX]	sc_RNA_Syncytiotrophoblasts
Single Cell Type RNA - T-cells [NX]	sc_RNA_T-cells
Single Cell Type RNA - Undifferentiated cells [NX]	sc_RNA_Undifferentiated_cells
Single Cell Type RNA - Urothelial cells [NX]	sc_RNA_Urothelial_cells
